Model,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
BSk1,-1830.45,262.97,-296.446,13444.7,NaN,NaN,0.599988,-0.5,-0.5,0.823074,NaN,NaN,0.3333333,NaN,NaN
BSk10,-1771.37,322.432,-80.6445,12219,NaN,NaN,0.266859,-0.461021,1.18713,0.23156,NaN,NaN,0.333333,NaN,NaN
BSk11,-1773.9,310.45,-78.3014,12254.7,NaN,NaN,0.259339,-0.464192,1.14268,0.225045,NaN,NaN,0.333333,NaN,NaN
BSk12,-1773.71,309.046,-75.2529,12253.1,NaN,NaN,0.263418,-0.46164,1.22561,0.229978,NaN,NaN,0.333333,NaN,NaN
BSk13,-1773.86,307.766,-73.428,12254.3,NaN,NaN,0.253076,-0.471466,1.27406,0.215541,NaN,NaN,0.333333,NaN,NaN
BSk14,-1822.67,377.47,-2.4106,11406.3,NaN,NaN,0.302096,-0.823575,61.94,0.47346,NaN,NaN,0.3,NaN,NaN
BSk15,-1832.91,372.552,17.982,11483,NaN,NaN,0.436279,-0.785263,-9.53228,0.675865,NaN,NaN,0.3,NaN,NaN
BSk16,-1837.23,383.521,-3.4174,11523,NaN,NaN,0.4326,-0.824106,44.652,0.689797,NaN,NaN,0.3,NaN,NaN
BSk17,-1837.33,389.102,-3.1742,11523.8,NaN,NaN,0.411377,-0.832102,49.4875,0.654962,NaN,NaN,0.3,NaN,NaN
BSk2,-1790.62,260.996,-147.167,13215.1,NaN,NaN,0.498986,-0.089752,0.224411,0.515675,NaN,NaN,0.343295,NaN,NaN
BSk2p,-1792.71,259.053,-146.768,13267.9,NaN,NaN,0.498612,-0.089757,0.242854,0.509818,NaN,NaN,0.343295,NaN,NaN
BSk3,-1755.1297,233.262,-135.284,13543.2,NaN,NaN,0.476585,-0.032567,0.470393,0.422501,NaN,NaN,0.361194,NaN,NaN
BSk4,-1776.9376,306.884,-105.67,12302.1,NaN,NaN,0.542494,-0.535165,0.494738,0.759028,NaN,NaN,0.333333,NaN,NaN
BSk5,-1778.8934,312.727,-102.883,12318.37,NaN,NaN,0.44451,-0.488716,0.58459,0.569304,NaN,NaN,0.333333,NaN,NaN
BSk6,-2043.3174,382.127,-173.879,12511.7,NaN,NaN,0.735859,-0.799153,-0.358983,1.234779,NaN,NaN,0.25,NaN,NaN
BSk7,-2044.2484,385.973,-131.525,12518.8,NaN,NaN,0.729193,-0.932335,-0.050127,1.23628,NaN,NaN,0.25,NaN,NaN
BSk8,-2035.525,398.8208,-196.0032,12433.36,NaN,NaN,0.773828,-0.822006,-0.38964,1.309331,NaN,NaN,0.25,NaN,NaN
BSk9,-2043.918,411.5987,-194.1886,12497.169,NaN,NaN,0.514921,-0.953799,-0.332249,0.899435,NaN,NaN,0.25,NaN,NaN
